ECR,Player,Tipoff (ET),Opponent,Today,Yesterday,Difference,Name,Team,Pos,Key,Price,run_ts
295,Mike Muscala (OKC - C),8:00PM,GSW,"$3,800",-,-,Mike Muscala,OKC,C,Mike Muscala-OKC,3800,2023-01-30 15:57:09.660005
-,Ibou Badji (POR - C),10:00PM,ATL,"$3,500",-,-,Ibou Badji,POR,C,Ibou Badji-POR,3500,2023-01-30 15:57:09.660005
-,John Butler (POR - PF),10:00PM,ATL,"$3,500",-,-,John Butler,POR,PF,John Butler-POR,3500,2023-01-30 15:57:09.660005
-,Donovan Williams (ATL - SF),10:00PM,@POR,"$3,500",-,-,Donovan Williams,ATL,SF,Donovan Williams-ATL,3500,2023-01-30 15:57:09.660005
268,Doug McDermott (SAS - PF/SF),8:00PM,WAS,"$4,100",-,-,Doug McDermott,SAS,PF/SF,Doug McDermott-SAS,4100,2023-01-30 15:57:09.660005
111,Royce O'Neale (BKN - SF/PF),7:30PM,LAL,"$5,400",-,-,Royce O'Neale,BKN,SF/PF,Royce O'Neale-BKN,5400,2023-01-30 15:57:09.660005
292,Damion Lee (PHO - SG),9:00PM,TOR,"$4,100",-,-,Damion Lee,PHX,SG,Damion Lee-PHX,4100,2023-01-30 15:57:09.660005
-,Matthew Dellavedova (SAC - PG),8:00PM,@MIN,"$3,500",-,-,Matthew Dellavedova,SAC,PG,Matthew Dellavedova-SAC,3500,2023-01-30 15:57:09.660005
173,Torrey Craig (PHO - SF/PF),9:00PM,TOR,"$4,500",-,-,Torrey Craig,PHX,SF/PF,Torrey Craig-PHX,4500,2023-01-30 15:57:09.660005
10,Damian Lillard (POR - PG),10:00PM,ATL,"$10,200",-,-,Damian Lillard,POR,PG,Damian Lillard-POR,10200,2023-01-30 15:57:09.660005
232,T.J. Warren (BKN - SF/PF),7:30PM,LAL,"$4,500",-,-,T.J. Warren,BKN,SF/PF,T.J. Warren-BKN,4500,2023-01-30 15:57:09.660005
271,Georges Niang (PHI - PF),7:00PM,ORL,"$3,900",-,-,Georges Niang,PHI,PF,Georges Niang-PHI,3900,2023-01-30 15:57:09.660005
-,Danuel House Jr. (PHI - SF),7:00PM,ORL,"$3,600",-,-,Danuel House,PHI,SF,Danuel House-PHI,3600,2023-01-30 15:57:09.660005
221,P.J. Tucker (PHI - PF),7:00PM,ORL,"$3,600",-,-,P.J. Tucker,PHI,PF,P.J. Tucker-PHI,3600,2023-01-30 15:57:09.660005
245,Richaun Holmes (SAC - C/PF),8:00PM,@MIN,"$4,000",-,-,Richaun Holmes,SAC,C/PF,Richaun Holmes-SAC,4000,2023-01-30 15:57:09.660005
249,Taurean Prince (MIN - SF/PF),8:00PM,SAC,"$4,700",-,-,Taurean Prince,MIN,SF/PF,Taurean Prince-MIN,4700,2023-01-30 15:57:09.660005
113,Kyle Anderson (MIN - SF/PF),8:00PM,SAC,"$6,500",-,-,Kyle Anderson,MIN,SF/PF,Kyle Anderson-MIN,6500,2023-01-30 15:57:09.660005
220,Montrezl Harrell (PHI - C),7:00PM,ORL,"$4,300",-,-,Montrezl Harrell,PHI,C,Montrezl Harrell-PHI,4300,2023-01-30 15:57:09.660005
-,Bryn Forbes (MIN - SG),8:00PM,SAC,"$3,500",-,-,Bryn Forbes,MIN,SG,Bryn Forbes-MIN,3500,2023-01-30 15:57:09.660005
241,Nerlens Noel (DET - C),8:30PM,@DAL,"$3,800",-,-,Nerlens Noel,DET,C,Nerlens Noel-DET,3800,2023-01-30 15:57:09.660005
64,Jerami Grant (POR - PF),10:00PM,ATL,"$6,700",-,-,Jerami Grant,POR,PF,Jerami Grant-POR,6700,2023-01-30 15:57:09.660005
37,Fred VanVleet (TOR - PG),9:00PM,@PHO,"$8,800",-,-,Fred VanVleet,TOR,PG,Fred VanVleet-TOR,8800,2023-01-30 15:57:09.660005
285,Gary Harris (ORL - SG/SF),7:00PM,@PHI,"$4,200",-,-,Gary Harris,ORL,SG/SF,Gary Harris-ORL,4200,2023-01-30 15:57:09.660005
180,Dennis Schroder (LAL - SG/PG),7:30PM,@BKN,"$6,800",-,-,Dennis Schroder,LAL,SG/PG,Dennis Schroder-LAL,6800,2023-01-30 15:57:09.660005
39,Rudy Gobert (MIN - C),8:00PM,SAC,"$8,000",-,-,Rudy Gobert,MIN,C,Rudy Gobert-MIN,8000,2023-01-30 15:57:09.660005
132,Monte Morris (WAS - PG),8:00PM,@SAS,"$5,300",-,-,Monte Morris,WAS,PG,Monte Morris-WAS,5300,2023-01-30 15:57:09.660005
95,Josh Hart (POR - SG/SF),10:00PM,ATL,"$6,100",-,-,Josh Hart,POR,SG/SF,Josh Hart-POR,6100,2023-01-30 15:57:09.660005
195,Delon Wright (WAS - PG/SG),8:00PM,@SAS,"$5,400",-,-,Delon Wright,WAS,PG/SG,Delon Wright-WAS,5400,2023-01-30 15:57:09.660005
265,Damian Jones (LAL - C),7:30PM,@BKN,"$3,500",-,-,Damian Jones,LAL,C,Damian Jones-LAL,3500,2023-01-30 15:57:09.660005
59,Christian Wood (DAL - PF/C),8:30PM,DET,"$8,000",-,-,Christian Wood,DAL,PF/C,Christian Wood-DAL,8000,2023-01-30 15:57:09.660005
224,Cameron Payne (PHO - PG/SG),9:00PM,TOR,"$4,800",-,-,Cameron Payne,PHX,PG/SG,Cameron Payne-PHX,4800,2023-01-30 15:57:09.660005
2,Joel Embiid (PHI - C),7:00PM,ORL,"$11,600",-,-,Joel Embiid,PHI,C,Joel Embiid-PHI,11600,2023-01-30 15:57:09.660005
57,Andrew Wiggins (GSW - SF/PF),8:00PM,@OKC,"$6,600",-,-,Andrew Wiggins,GSW,SF/PF,Andrew Wiggins-GSW,6600,2023-01-30 15:57:09.660005
-,Dario Saric (PHO - PF),9:00PM,TOR,"$5,300",-,-,Dario Saric,PHX,PF,Dario Saric-PHX,5300,2023-01-30 15:57:09.660005
61,Jusuf Nurkic (POR - C),10:00PM,ATL,"$7,500",-,-,Jusuf Nurkic,POR,C,Jusuf Nurkic-POR,7500,2023-01-30 15:57:09.660005
56,Clint Capela (ATL - C),10:00PM,@POR,"$7,000",-,-,Clint Capela,ATL,C,Clint Capela-ATL,7000,2023-01-30 15:57:09.660005
122,Bogdan Bogdanovic (ATL - SF/SG),10:00PM,@POR,"$5,800",-,-,Bogdan Bogdanovic,ATL,SF/SG,Bogdan Bogdanovic-ATL,5800,2023-01-30 15:57:09.660005
298,Justise Winslow (POR - SF),10:00PM,ATL,"$4,800",-,-,Justise Winslow,POR,SF,Justise Winslow-POR,4800,2023-01-30 15:57:09.660005
-,Edmond Sumner (BKN - PG/SG),7:30PM,LAL,"$4,100",-,-,Edmond Sumner,BKN,PG/SG,Edmond Sumner-BKN,4100,2023-01-30 15:57:09.660005
75,D'Angelo Russell (MIN - PG/SG),8:00PM,SAC,"$7,200",-,-,D'Angelo Russell,MIN,PG/SG,D'Angelo Russell-MIN,7200,2023-01-30 15:57:09.660005
-,Stanley Johnson (SAS - SF),8:00PM,WAS,"$4,000",-,-,Stanley Johnson,SAS,SF,Stanley Johnson-SAS,4000,2023-01-30 15:57:09.660005
85,Kyle Kuzma (WAS - SF/PF),8:00PM,@SAS,"$8,500",-,-,Kyle Kuzma,WAS,SF/PF,Kyle Kuzma-WAS,8500,2023-01-30 15:57:09.660005
73,Jakob Poeltl (SAS - C),8:00PM,WAS,"$6,600",-,-,Jakob Poeltl,SAS,C,Jakob Poeltl-SAS,6600,2023-01-30 15:57:09.660005
88,Devin Booker (PHO - SG),9:00PM,TOR,"$9,000",-,-,Devin Booker,PHX,SG,Devin Booker-PHX,9000,2023-01-30 15:57:09.660005
289,Trey Lyles (SAC - PF),8:00PM,@MIN,"$4,700",-,-,Trey Lyles,SAC,PF,Trey Lyles-SAC,4700,2023-01-30 15:57:09.660005
109,Karl-Anthony Towns (MIN - PF/C),8:00PM,SAC,"$9,000",-,-,Karl-Anthony Towns,MIN,PF/C,Karl-Anthony Towns-MIN,9000,2023-01-30 15:57:09.660005
225,Gary Payton II (POR - SG),10:00PM,ATL,"$3,700",-,-,Gary Payton II,POR,SG,Gary Payton II-POR,3700,2023-01-30 15:57:09.660005
145,Kevon Looney (GSW - C/PF),8:00PM,@OKC,"$6,000",-,-,Kevon Looney,GSW,C/PF,Kevon Looney-GSW,6000,2023-01-30 15:57:09.660005
11,Domantas Sabonis (SAC - C/PF),8:00PM,@MIN,"$9,600",-,-,Domantas Sabonis,SAC,C/PF,Domantas Sabonis-SAC,9600,2023-01-30 15:57:09.660005
17,Pascal Siakam (TOR - C/PF),9:00PM,@PHO,"$9,500",-,-,Pascal Siakam,TOR,C/PF,Pascal Siakam-TOR,9500,2023-01-30 15:57:09.660005
15,Kristaps Porzingis (WAS - C/PF),8:00PM,@SAS,"$8,900",-,-,Kristaps Porzingis,WAS,C/PF,Kristaps Porzingis-WAS,8900,2023-01-30 15:57:09.660005
77,Ben Simmons (BKN - PG/PF),7:30PM,LAL,"$6,500",-,-,Ben Simmons,BKN,PG/PF,Ben Simmons-BKN,6500,2023-01-30 15:57:09.660005
-,PJ Dozier (SAC - SG/SF),8:00PM,@MIN,"$3,500",-,-,PJ Dozier,SAC,SG/SF,PJ Dozier-SAC,3500,2023-01-30 15:57:09.660005
54,John Collins (ATL - PF/C),10:00PM,@POR,"$6,000",-,-,John Collins,ATL,PF/C,John Collins-ATL,6000,2023-01-30 15:57:09.660005
